#r 	ccsd	SVWN	pbe0	pbe	m062x	hse06	m11
4.942022	0.104385	0.099699	0.097799	0.097915	0.094488	0.097909	0.097128
4.961108	0.102475	0.097826	0.095947	0.096073	0.092710	0.096054	0.095241
4.980005	0.100596	0.095984	0.094127	0.094262	0.090964	0.094231	0.093386
4.998903	0.098748	0.094174	0.092339	0.092482	0.089248	0.092439	0.091563
5.017800	0.096931	0.092394	0.090581	0.090733	0.087562	0.090678	0.089772
5.036697	0.095144	0.090645	0.088853	0.089015	0.085906	0.088948	0.088012
5.055784	0.093387	0.088925	0.087156	0.087325	0.084279	0.087247	0.086282
5.074681	0.091659	0.087235	0.085487	0.085665	0.082681	0.085575	0.084582
5.093578	0.089960	0.085574	0.083848	0.084034	0.081111	0.083933	0.082912
5.112476	0.088289	0.083941	0.082237	0.082431	0.079569	0.082319	0.081271
5.131373	0.086646	0.082337	0.080654	0.080856	0.078053	0.080733	0.079659
5.150459	0.085030	0.080760	0.079098	0.079308	0.076565	0.079174	0.078075
5.169356	0.083441	0.079209	0.077569	0.077786	0.075103	0.077642	0.076518
5.188254	0.081879	0.077686	0.076067	0.076291	0.073666	0.076137	0.074989
5.207151	0.080343	0.076188	0.074591	0.074822	0.072255	0.074658	0.073487
5.226048	0.078833	0.074717	0.073140	0.073379	0.070869	0.073205	0.072011
5.245135	0.077348	0.073271	0.071715	0.071960	0.069507	0.071777	0.070561
5.264032	0.075888	0.071849	0.070315	0.070567	0.068169	0.070374	0.069136
5.282929	0.074452	0.070453	0.068939	0.069197	0.066855	0.068996	0.067737
5.301826	0.073041	0.069080	0.067587	0.067851	0.065564	0.067641	0.066362
5.320724	0.071653	0.067731	0.066259	0.066529	0.064296	0.066310	0.065012
5.339810	0.070289	0.066405	0.064954	0.065230	0.063050	0.065003	0.063685
5.358707	0.068948	0.065103	0.063671	0.063953	0.061827	0.063718	0.062382
5.377605	0.067630	0.063823	0.062412	0.062699	0.060625	0.062456	0.061102
5.396502	0.066333	0.062565	0.061174	0.061467	0.059444	0.061216	0.059845
5.415399	0.065059	0.061329	0.059958	0.060256	0.058284	0.059997	0.058611
5.434486	0.063806	0.060115	0.058764	0.059067	0.057145	0.058801	0.057398
5.453383	0.062575	0.058922	0.057590	0.057898	0.056025	0.057625	0.056208
5.472280	0.061365	0.057749	0.056437	0.056750	0.054926	0.056470	0.055038
5.491177	0.060175	0.056598	0.055305	0.055622	0.053846	0.055335	0.053890
5.510075	0.059005	0.055466	0.054192	0.054514	0.052786	0.054220	0.052762
5.529161	0.057856	0.054354	0.053100	0.053425	0.051744	0.053126	0.051654
5.548058	0.056726	0.053262	0.052026	0.052356	0.050720	0.052050	0.050567
5.566956	0.055615	0.052189	0.050972	0.051306	0.049715	0.050994	0.049499
5.585853	0.054524	0.051135	0.049936	0.050274	0.048728	0.049956	0.048451
5.604750	0.053451	0.050099	0.048919	0.049260	0.047758	0.048937	0.047421
5.623836	0.052397	0.049082	0.047920	0.048264	0.046806	0.047936	0.046411
5.642734	0.051361	0.048083	0.046939	0.047286	0.045871	0.046953	0.045419
5.661631	0.050342	0.047101	0.045975	0.046326	0.044952	0.045988	0.044445
5.680528	0.049342	0.046137	0.045029	0.045383	0.044050	0.045039	0.043489
5.699426	0.048359	0.045190	0.044100	0.044456	0.043164	0.044108	0.042550
5.718512	0.047392	0.044260	0.043187	0.043546	0.042294	0.043194	0.041629
